Gene start (bp)	Gene end (bp)	Gene % GC content	Chromosome/scaffold name	Gene name	NCBI gene (formerly Entrezgene) ID
201113943	201127184	50.63	1	ASCL5	647219
15103135	15103355	61.54	16		100505915
15094411	15109197	47.01	16		100505915
73154938	73207283	46.79	7	GTF2IP4	100093631
58467056	58475436	57.74	19	ZNF324	25799
180949699	180954887	57.60	1	KIAA1614-AS1	103344928
180972712	181023121	40.71	1	STX6	10228
3144219	3149963	60.85	16	CASP16P	197350
58474017	58481230	59.14	19	ZNF446	55663
29412474	29497686	37.28	12	OVCH1	341350
81489204	81691406	34.43	7		100128317
2339150	2426699	43.85	16	ABCA17P	650655
181174484	181182208	49.40	1	LINC01732	101928973
105025397	105035250	37.02	11	CASP1	834
92412550	92447813	43.44	7	TMBIM7P	105375396
181033374	181061938	46.09	1	MR1	3140
142265833	142271301	41.65	7	PRSS59P	207147
142268284	142272235	41.55	7	PRSS59P	207147
22385769	22407598	40.62	16	MFSD13B	105371130
58479512	58512413	51.36	19	SLC27A5	10998
89969791	89972534	52.11	16	CENPBD1P	92806
29863593	29868053	52.79	16	CDIPTOSP	440356
109573255	109598125	52.45	12	MVK	4598
93149742	93180516	38.00	1	TMED5	50999
100100898	100110345	56.91	7	AP4M1	9179
67207139	67227048	53.46	16	FBXL9P	26231
58513530	58538911	53.64	19	ZBTB45	84878
16015287	16027462	59.95	19	LINC00661	126536
89972581	90002161	50.99	16	AFG3L1P	172
72285495	72434680	45.77	11	CLPB	81570
16031170	16042142	56.38	19	LINC00905	148231
200853009	200864691	41.73	2	CLK1	1195
10801532	10802627	40.05	12	TAS2R7	50837
10806051	10807286	35.68	12	TAS2R8	50836
10809094	10810168	39.72	12	TAS2R9	50835
10845849	10849475	40.20	12	PRR4	11272
10845849	10849475	40.20	12	PRR4	5554
93179919	93278730	36.98	1	CCDC18	343099
1997654	2009821	64.24	16	ZNF598	90850
10907926	10909562	35.92	12	TAS2R13	50838
10929236	10934845	38.25	12	PRH2	5555
4674341	4724673	56.68	19	DPP9	91039
47187812	47187891	53.75	12	MIR4698	100616486
47364186	47364269	41.67	12	MIR4494	100616478
56416363	56449426	46.65	12	TIMELESS	8914
230712842	230821075	40.78	2	CAB39	51719
166888480	167259753	36.19	2	XIRP2	129446
42784991	42816619	44.11	1	TMEM269	100129924
42807052	42817397	41.93	1	SVBP	374969
28605196	28610044	54.79	16	SULT1A1	6817
170531819	170553834	36.56	1	GORAB	92344
114678527	114707069	37.91	11	NXPE2	120406
197293878	197293948	43.66	3	MIR4797	100616216
197298252	197303755	46.40	3	DLG1-AS1	100507086
114518934	114559881	37.37	11	NXPE1	120400
23044305	23044372	41.18	1	MIR3115	100422866
146391421	146495991	37.31	3	PLSCR2	57047
23019443	23083689	39.17	1	KDM1A	23028
56341597	56360203	47.82	12	STAT2	6773
16753755	16784536	39.01	7	TSPAN13	27075
48807321	48810837	53.09	19		105372432
48872212	48876059	56.78	19	PPP1R15A	23645
16791811	16833433	38.42	7	AGR2	10551
65027439	65040572	51.28	11	SNX15	29907
49969600	49975819	58.14	19	SIGLEC16	400709
3188204	3224779	47.77	16	OR1F1	4992
7920338	7923250	64.13	19	SNAPC2	6618
175072250	175168382	36.05	2	ATF2	1386
17742952	17745665	43.92	3		105376975
18097778	18151692	54.88	19	MAST3	23031
17157162	18444817	37.62	3	TBC1D5	9779
152811971	152813108	48.59	1	LCE1B	353132
16859412	16881987	35.18	7	AGR3	155465
152827473	152828097	60.32	1	LCE1A	353131
152842856	152843983	48.58	1	LCE6A	448835
152878322	152885047	48.93	1	SMCP	4184
152908546	152911886	55.88	1	IVL	3713
65040901	65044828	58.58	11	SAC3D1	29901
152930040	152949210	42.80	1	LINC01527	101927988
152970648	152972574	49.09	1	SPRR4	163778
153001747	153003856	43.98	1	SPRR3	6707
153031203	153032900	42.64	1	SPRR1B	6699
65044818	65058553	54.38	11	NAALADL1	10004
153039732	153041931	44.73	1	SPRR2D	6703
16990133	17021567	37.67	7		105375170
153056120	153057512	44.01	1	SPRR2A	6700
153070226	153071611	44.37	1	SPRR2B	6701
153093135	153106184	37.98	1	SPRR2E	6704
153112121	153113516	44.63	1	SPRR2F	6705
153149582	153150890	44.23	1	SPRR2G	6706
159171609	159203313	46.20	1	CADM3	57863
50188186	50310542	50.80	19	MYH14	79784
149714781	149734575	57.32	7	KRBA1	84626
159437845	159443078	40.58	1	OR10J1	26476
159289714	159308224	38.03	1	FCER1A	2205
24056035	24112135	52.63	1	MYOM3	127294
6328757	6342114	54.08	12	TNFRSF1A	7132
65066300	65084164	52.67	11	CDCA5	113130
149764182	149773588	59.66	7	ZNF467	168544
24119771	24143140	48.41	1	IL22RA1	58985
65084210	65088398	56.22	11	ZFPL1	7542
24154168	24187959	47.38	1	IFNLR1	163702
38496127	38542161	42.10	3	EXOG	9941
149838375	149867479	48.91	7	ZNF862	643641
65084979	65089375	55.56	11	TMEM262	100130348
149867697	149880610	53.74	7	ATP6V0E2-AS1	401431
65111845	65116384	60.18	11	TM7SF2	7108
24200240	24211693	50.44	1	LINC02800	284632
202007945	202017183	54.80	1	ELF3	1999
27332836	27425289	39.27	12	BMAL2	56938
143026200	143027132	44.80	7	OR9A2	135924
143052341	143053282	53.08	7	OR6V1	346517
9917074	9933630	51.21	3	IL17RC	84818
18782773	18791305	62.85	19	COMP	1311
202193799	202319781	49.62	1	LGR6	59352
200889327	200903938	41.02	2	NIF3L1	60491
65116403	65117701	68.13	11	ZNHIT2	741
202147013	202161588	52.92	1	PTPN7	5778
65120630	65122177	53.42	11	FAU	2197
18831959	18868230	55.14	19	UPF1	5976
203238977	203306026	42.27	2	CYP20A1	57404
27389789	27446625	38.63	12	BMAL2-AS1	101928646
65121780	65134532	55.16	11	SYVN1	84447
123918660	123972831	47.49	12	CCDC92	80212
123971845	124015439	44.11	12	ZNF664	144348
9853718	9936515	50.51	19	OLFM2	93145
232397965	232630571	41.29	1	SIPA1L2	57568
43007656	43026474	43.20	19	PSG11	5680
124337181	124337242	66.13	12	MIR6880	102466204
49539030	49558337	57.69	12	KCNH3	23416
43064209	43083045	43.60	19	PSG2	5670
42721638	42740481	43.63	19	PSG3	5671
132671788	133568463	39.30	2	NCKAP5	344148
29147743	29181900	42.93	1	SRSF4	6429
65122183	65127371	50.97	11	MRPL49	740
42752686	42765678	45.77	19	PSG8	440533
49556544	49568145	55.11	12	MCRS1	10445
241584405	241637158	49.66	2	THAP4	51078
170935526	171064765	37.59	1	MROH9	80133
65129916	65129978	61.90	11	MIR6751	102465449
65177606	65181834	48.43	11	CAPN1-AS1	728975
171090901	171117819	36.50	1	FMO3	2328
42821772	42826878	47.72	19	PSG8-AS1	100289650
65180566	65212006	51.18	11	CAPN1	823
42866464	42879822	45.75	19	PSG1	5672
42866464	42879822	45.75	19	PSG1	5669
171101728	171101806	51.90	1	MIR1295A	100302178
171101739	171101798	55.00	1	MIR1295B	100847009
171185249	171212686	38.85	1	FMO2	2327
131209536	131265278	38.96	2	POTEE	445582
48469208	48482314	58.18	19	CYTH2	9266
156893698	156916429	57.04	1	PEAR1	375033
156934840	157045742	44.58	1	ARHGEF11	9826
189784085	189877629	36.81	2	PMS1	5378
1609291	1652615	59.56	19	TCF3	6929
49568218	49644666	47.42	12	PRPF40B	25766
11006098	11019224	50.84	3	SLC6A1-AS1	100874090
130345516	130484846	38.70	3	COL6A5	256076
157092043	157112412	52.26	1	ETV3L	440695
157121191	157138474	43.29	1	ETV3	2117
89870438	89878487	39.04	11	TRIM64B	642446
157128362	157128671	44.84	1	CYCSP52	360155
2400488	2403878	62.64	11	TSSC4	10078
34166883	34219131	47.51	1	C1orf94	84970
49582885	49605639	47.62	12	FAM186B	84070
33513998	34165842	45.21	1	CSMD2	114784
2404515	2444514	59.10	11	TRPM5	29850
49468713	49535618	47.52	3	DAG1	1605
49636499	49708165	48.38	12	FMNL3	91010
53088483	53130453	45.76	3	RFT1	91869
38647649	38731589	53.00	19	ACTN4	81
53156009	53192717	56.58	3	PRKCD	5580
154924740	154936719	49.67	1	PMVK	10654
154944076	154956123	54.24	1	PBXIP1	57326
122980060	122982913	65.56	12	ARL6IP4	51329
97113153	97264521	36.00	2	ANKRD36	375248
154957026	154963853	54.77	1	PYGO2	90780
89911111	89922245	37.66	11	TRIM49D1	399939
154962298	154974395	53.79	1	SHC1	6464
89924064	89933063	37.46	11	TRIM49D2	729384
49767001	49807114	54.54	19	AP2A1	160
201116154	201176687	44.35	2	CFLAR	8837
90031106	90042025	37.03	11	TRIM49C	642612
90085950	90087131	44.33	11	UBTFL1	642623
89966037	89974072	38.94	11	TRIM64	120146
117800844	117828698	51.98	11	FXYD2	486
6988259	7071032	45.02	12	C1S	716
16067021	16103002	50.92	19	TPM4	7171
117820163	117876667	49.89	11	FXYD6-FXYD2	100533181
39329709	39333680	42.20	3	CCR8	1237
39383370	39397351	46.40	3	SLC25A38	54977
117836976	117877486	48.09	11	FXYD6	53826
39138206	39138266	62.30	3	MIR6822	102466743
39141855	39154562	55.85	3	CSRNP1	64651
53938831	53946544	48.94	12	HOXC13	3229
39183210	39192596	58.29	3	XIRP1	165904
53954903	53958956	58.16	12	HOXC12	3228
53973126	53977643	55.98	12	HOXC11	3227
53985065	53990279	52.92	12	HOXC10	3226
39263495	39281735	46.15	3	CX3CR1	1524
160272151	160493807	39.20	2	RBMS1	5937
16174680	16231992	45.63	3	GALNT15	117248
53990624	54030823	53.61	12	HOXC6	3223
154974653	154979251	44.40	1	CKS1B	1163
53991738	53991847	48.18	12	MIR196A2	406973
53994895	54003337	56.89	12	HOXC9	3225
54008985	54012769	51.76	12	HOXC8	3224
54033950	54034045	70.83	12	MIR615	693200
154975693	154975783	68.13	1	MIR4258	100423020
121626509	121643218	52.99	12	ORAI1	84876
154983338	154993111	51.25	1	FLAD1	80308
109347900	109455523	43.12	12	MYO1H	283446
16111889	16134234	53.57	19	RAB8A	4218
16257061	16264969	40.33	3	DPH3	285381
564296	663589	48.05	12	NINJ2	4815
16265160	16350299	42.08	3	OXNAD1	92106
2695765	2812902	45.56	12	ITFG2-AS1	283440
2794970	2805423	51.53	12	FKBP4	2288
155002630	155018523	60.41	1	ZBTB7B	51043
117986370	118003037	49.19	11	IL10RA	3587
155018520	155033781	53.65	1	DCST2	127579
22596257	22603550	54.20	19	GOLGA2P9	440518
159318979	159616569	36.16	2	BAZ2B	29994
140941830	140980995	35.48	3	SLC25A36	55186
2812622	2859791	50.20	12	ITFG2	55846
155033824	155050930	53.42	1	DCST1	149095
39638685	39642401	44.23	19		100129935
40890826	40912357	46.12	19	CYP2G1P	22952
6318946	6320532	64.65	11	CAVIN3	112464
56368099	56379828	40.44	19	ZNF542P	147947
6390440	6394998	56.72	11	SMPD1	6609
2825348	2835544	51.39	12	NRIP2	83714
2849046	2857039	51.93	12	TEX52	101929469
2857680	2877174	48.09	12	FOXM1	2305
155050566	155062775	58.25	1	ADAM15	8751
118088452	118110997	37.96	2	INSIG2	51141
129429607	129520510	46.73	3	IFT122	55764
6497260	6593758	43.78	11	DNHD1	144132
50882096	50896398	47.80	19	KLKP1	606293
136765545	137677718	37.67	2	THSD7B	80731
2876258	2889524	47.54	12	RHNO1	83695
26308547	26395885	42.64	2	SELENOI	85465
15846262	15864924	47.00	19	CLEC4OP	102724279
113437691	113496204	36.28	2	ZNG1B	150472
2877223	2941138	44.99	12	TULP3	7289
40924219	40950676	45.18	19	CYP2B7P	1556
7754393	7905955	38.16	11		283299
39679372	39686373	46.66	19	LGALS17A	400696
8964502	8977527	44.13	11	TMEM9B-AS1	493900
2959330	3040676	51.60	12	TEAD4	7004
8965682	9005288	44.64	11	NRIP3	56675
51167328	51173524	47.99	19	SIGLEC17P	284367
44926796	44931503	52.32	19	APOC1P1	342
16613132	16758340	38.18	11	C11orf58	10944
64291302	64300031	58.14	11	KCNK4	50801
3077355	3286564	52.13	12	TSPAN9	10867
10041841	10074770	50.73	19	C3P1	388503
94512461	94532123	40.54	11	C11orf97	643037
40387184	40428744	41.75	3	ENTPD3	956
94543840	94621421	40.25	11	PIWIL4	143689
3381349	3593973	45.94	12	PRMT8	56341
119366924	119372550	50.38	2	DBI	1622
75275979	75390928	35.15	12	CAPS2	84698
94543921	94549895	48.89	11	FUT4	2526
39704481	39709444	45.19	19	LGALS14	56891
40457292	40468587	44.36	3	RPL14	9045
65170233	65173374	56.72	11	SPDYC	387778
39731255	39738029	43.84	19	CLC	1178
213284389	214410501	35.89	2	SPAG16	79582
45506579	45526989	54.67	19	VASP	7408
77874418	77994715	40.83	11	INTS4	92105
40477113	40491053	44.89	3	ZNF619	285267
1905214	1926013	60.16	19	SCAMP4	113178
40477131	40518736	44.27	3	ZNF620	253639
73233420	73253021	46.07	2	CCT7	10574
40524878	40574685	41.97	3	ZNF621	285268
27446736	27502185	40.42	12	SMCO2	341346
40719859	40862626	40.90	3		105377043
109097597	109126725	46.58	12	UNG	7374
33080899	33130542	45.71	19	GPATCH1	55094
41194741	41260096	39.90	3	CTNNB1	1499
149928651	149936879	49.97	1	MTMR11	10903
232606057	232682776	48.71	2	EFHD1	80303
33299934	33302534	65.86	19	CEBPA	1050
30224891	30713586	46.39	19	ZNF536	9745
130459455	130509707	38.56	2	POTEI	653269
48525632	48526570	49.84	12	OR8S1	341568
122974580	122980043	59.54	12	OGFOD2	79676
51991332	52008230	39.06	19	ZNF615	284370
149937812	150010726	42.48	1	OTUD7B	56957
48314637	48379295	36.31	2	FOXN2	3344
26692722	26733420	53.75	2	KCNK3	3777
36773100	36777078	46.02	19		728485
145095974	145112696	40.18	1	FAM72D	728833
36797501	36831596	40.64	19	ZNF790-AS1	284408
49918503	51225575	35.81	2	NRXN1	9378
113733187	113773735	39.08	11	ZW10	9183
145866560	145885866	48.17	1	ANKRD35	148741
36817428	36850787	42.57	19	ZNF790	388536
145891208	145910111	48.41	1	ITGA10	8515
36888124	36916291	39.33	19	ZNF829	374899
113779796	113780485	56.09	11	CLDN25	644672
121017763	121039246	48.40	12	OASL	8638
119623408	119729200	54.86	11	NECTIN1	5818
36850361	36913029	39.29	19	ZNF345	25850
119709920	119713925	53.02	11	NECTIN1-AS1	105369525
119729583	119739623	47.83	11	NECTIN1-DT	102724301
128686535	128813267	46.48	11	FLI1	2313
36916316	37005037	40.17	19	ZNF568	374900
145911350	145918717	45.25	1	PEX11B	8799
10825219	10826358	36.23	12	TAS2R10	50839
132623753	132687376	50.85	12	POLE	5426
145926590	145959179	44.35	1	LIX1L-AS1	105371260
113797874	113875572	41.45	11	USP28	57646
145933423	145958017	43.62	1	LIX1L	128077
145959441	145964575	55.93	1	ANKRD34A	284615
145964690	145978848	44.92	1	POLR3GL	84265
9324174	9382617	40.32	19	ZNF559-ZNF177	100529215
145992435	145996579	42.39	1	TXNIP	10628
146017468	146036746	44.51	1	HJV	148738
48968130	48993310	52.54	19	GYS1	2997
146052081	146052244	50.61	1	RNVU1-6	101954276
146064711	146229000	41.59	1	NBPF10	100132406
55287842	55419895	36.44	2	CCDC88A	55704
56988914	56989843	39.03	11	OR5AK2	390181
1469457	1501247	54.17	11	MOB2	81532
49017968	49020549	63.40	19	SAXO3	101059948
49054274	49058860	63.61	19	CGB7	94027
49119544	49151026	55.14	19	PPFIA3	8541
1629775	1630930	62.11	11	KRTAP5-5	439915
94962620	94973586	37.35	11	CWC15	51503
94973709	94999519	36.25	11	KDM4D	55693
48998367	49019241	47.46	12	DDN-AS1	105369758
95025258	95027596	50.58	11	KDM4E	390245
49097136	49110900	51.85	12	LMBR1L	55716
95066919	95071225	45.07	11	SRSF8	10929
95089846	95132645	42.67	11	ENDOD1	23052
95165513	95232541	35.27	11	SESN3	143686
23010834	23019100	43.87	1	TEX46	729059
48532854	50023954	39.05	1	AGBL4	84871
5244554	5245546	39.58	11	BGLT3	103344929
36483769	36510272	38.27	11	TRAF6	7189
48727519	48776969	44.07	1	BEND5	79656
36510372	36593156	39.18	11	RAG1	5896
36575574	36598279	38.54	11	RAG2	5897
49151198	49155396	57.80	19	HRC	3270
49257411	49269285	39.09	1	AGBL4-AS1	101929721
49374201	49472085	37.06	1	AGBL4-IT1	100874313
63268022	63311783	38.29	11	SLC22A10	387775
51102221	51148086	37.89	1	C1orf185	284546
63774017	64181498	40.97	1	ROR1	4919
49157741	49211836	50.30	19	TRPM4	54795
45647689	45665622	56.44	11	CHST1	8534
171700160	171742074	36.59	1	VAMP4	8674
45804072	45813016	56.94	11	SLC35C1	55343
66842835	66846552	60.49	11	RCE1	9986
57693841	57728342	46.85	12	OS9	10956
144412576	144412740	52.73	1	RNVU1-15	101954267
144551779	144551943	51.52	1	RNVU1-2A	6063
1921951	2003837	55.65	1	CFAP74	85452
66848417	66958386	51.93	11	PC	5091
149390621	149471833	39.20	1	NOTCH2NLC	100996717
178677749	178677834	34.88	1	MIR4424	100616328
178725165	178921842	36.81	1	RALGPS2	55103
178849535	178871077	33.76	1	ANGPTL1	9068
35523367	35528351	57.65	19	SBSN	374897
15236521	15400283	47.43	1	FHAD1	114827
35533455	35545319	54.45	19	GAPDHS	26330
35540738	35546029	56.80	19	TMEM147-AS1	100506469
35545600	35547526	58.54	19	TMEM147	10430
66856647	66860475	70.38	11	LRFN4	78999
66934434	66934506	39.73	11	MIR3163	100423029
66975277	66977009	59.84	11	C11orf86	254439
35550031	35563658	58.06	19	ATP4A	495
119023751	119030906	55.18	11	SLC37A4	2542
20806292	21177285	39.39	1	EIF4G3	8672
41246599	41962130	39.38	3	ULK4	54986
9538681	9539734	50.00	19	ZNF426-DT	101928238
9363013	9382617	38.89	19	ZNF177	100529215
9363013	9382617	38.89	19	ZNF177	7730
44326555	44367217	38.31	19	ZNF112	7771
97430884	97598415	36.66	12	RMST	196475
44382298	44401608	41.87	19	ZNF285	26974
42013802	42225890	44.94	3	TRAK1	22906
44417519	44448578	41.83	19	ZNF229	7772
44474428	44500524	44.11	19	ZNF180	7733
49027501	49038451	36.78	11	TRIM49B	283116
49053714	49059112	38.21	11	TRIM64C	646754
65314866	65322417	56.09	11	CDC42EP2	10435
133030389	133037222	41.02	12	ZNF84-DT	101928597
65375192	65383701	59.38	11	SLC25A45	283130
44501677	44529788	45.62	19	CEACAM20	125931
127142029	127146532	46.69	12		107984450
44537058	44620821	45.05	19	CEACAM22P	388550
9936504	9943495	36.47	12	LINC02470	100506159
44613563	44636781	48.22	19	IGSF23	147710
65386621	65413525	56.25	11	FRMD8	83786
44643798	44666162	50.03	19	PVR	5817
54353661	54497688	47.63	12	GPR84-AS1	102724050
120941728	120980968	49.08	12	HNF1A-AS1	283460
69901918	70243405	38.84	12	PRANCR	101928062
42257825	42266185	47.79	3	CCK	885
125958688	125983665	41.53	12	LINC00939	400084
42397083	42410610	43.40	3	LYZL4	131375
44653686	44653732	57.45	19	MIR4531	100616355
44662278	44684359	47.31	19	CEACAM19	56971
65653599	65663090	55.64	11	RELA	5970
114408131	114412832	50.04	12	TBX5-AS1	255480
98485544	98503859	44.32	12	LINC02453	643770
76559870	76615567	39.49	12		105369850
96359964	96360039	42.11	3	MIR8060	102465864
44699151	44710718	54.20	19	CEACAM16	388551
96814581	97761532	35.38	3	EPHA6	285220
44747705	44760044	58.73	19	BCL3	602
123363868	123366113	59.97	12	SBNO1-AS1	112268105
3871579	3910385	41.35	12	PARP11-AS1	105369609
83888705	84186576	34.87	12		107984536
10553362	10572761	37.04	12	LINC02446	101060038
44758657	44758721	58.46	19	MIR8085	102465879
44777869	44800652	53.48	19	CBLC	23624
53012884	53054450	47.06	12	TNS2-AS1	283335
97822011	97944984	37.12	3	CRYBG3	131544
44809071	44821421	58.92	19	BCAM	4059
97941818	97972457	41.54	3	RIOX2	84864
113583886	113773726	47.06	12	LINC01234	100506465
116533422	116536518	50.76	12	LINC00173	100287569
31876969	31959333	43.76	12	LINC02422	105369725
40348456	40389472	52.47	19	PLD3	23646
98087173	98088102	39.68	3	OR5AC2	81050
98191359	98196755	46.10	3		105373997
98282505	98284070	33.91	3	OR5H2	79310
98353854	98354819	38.30	3	OR5K4	403278
226631690	226739323	49.82	1	ITPKB	3707
98390666	98391631	37.37	3	OR5K3	403277
110934590	110959093	44.94	12	LINC01405	100131138
10992186	11039247	50.30	3	SLC6A1	6529
162170684	162245151	36.70	2	FAP	2191
152032506	152047907	45.08	1	S100A11	6282
585693	587946	54.92	12		105369595
10280330	10291284	38.58	12		105369656
494512	507300	60.36	11	RNH1	6050
152079557	152080903	56.64	1		100131107
152084141	152089064	42.57	1	TCHHL1	126637
152153595	152159228	44.75	1	RPTN	126638
152212076	152224193	50.89	1	HRNR	388697
144421390	144461676	42.76	1	NBPF15	284565
47205893	47216487	42.58	12	PCED1B-AS1	100233209
145281116	145281279	48.78	1	RNVU1-14	101954266
26692132	26694131	50.95	1		101928728
26787054	26800659	47.96	1	PIGV	55650
26826688	26857604	51.60	1	ZDHHC18	84243
48829756	48852842	49.65	12	DDX23	9416
224470150	224585397	37.23	2	CUL3	8452
26863149	26864456	62.77	1	SFN	2810
26876132	26890283	48.73	1	GPN2	54707
68008578	68029282	58.40	11	ALDH3B1	221
26890488	26900467	50.12	1	GPATCH3	63906
26900238	26946871	48.43	1	NUDC	10726
6963226	6964447	61.78	12	MIR200CHG	105369635
2319232	2327110	40.93	2	MYT1L-AS1	730811
6970913	6979936	48.27	12	EMG1	10436
26911489	26913975	53.56	1	NR0B2	8431
26993692	27000886	55.83	1	TRNP1	388610
68030617	68036644	57.63	11	NDUFS8	4728
27005020	27012850	55.52	1	TENT5B	115572
1789113	2331664	44.50	2	MYT1L	23040
26190561	26202968	50.80	1	CATSPER4	378807
132031224	132031359	48.53	12	SNORA49	677829
132136594	132144319	60.46	12	DDX51	317781
26234200	26278808	44.68	1	CEP85	64793
68032864	68032922	66.10	11	MIR7113	102465669
68033897	68033981	62.35	11	MIR4691	100616403
68044794	68044957	66.46	11	MIR6753	102465451
47522942	47624665	41.30	17	NPEPPS	9520
68052859	68121444	44.10	11	CHKA	1119
132144457	132152473	63.76	12	NOC4L	79050
10309916	10316015	52.93	19	FDX2	112812
26410817	26429728	46.56	1	LIN28A	79727
68261338	68272001	52.05	11	C11orf24	53838
10289952	10296778	64.04	19	ICAM5	7087
26281328	26318363	53.25	1	UBXN11	91544
132186735	132189728	63.43	12	LINC02361	100996246
131949942	132080460	47.45	12	EP400	57634
68312591	68449275	54.62	11	LRP5	4041
10316212	10333529	56.77	19	RAVER1	125950
31532638	31637616	35.96	3	STT3B	201595
10333776	10339661	55.88	19	ICAM3	3385
31657912	32077580	42.46	3	OSBPL10	114884
1086574	1095380	61.47	19	POLR2E	5434
130068147	130144811	43.97	11	APLP2	334
204396492	204411887	41.19	1	PPP1R15B	84919
32679200	32745650	38.21	12	DNM1L	10059
53459399	53467488	54.92	1	DMRTB1	63948
53506237	53739164	50.80	1	GLIS1	148979
53765478	53838463	40.20	1	NDC1	55706
1103982	1106791	69.54	19	GPX4	2879
31704058	31721652	44.31	3	OSBPL10-AS1	100874206
31981750	31991723	41.67	3	ZNF860	344787
32105689	32168709	44.49	3	GPD1L	23171
48837092	48868617	51.07	19	PLEKHA4	57664
240767636	241357374	39.16	1	RGS7	6000
112921205	112975103	35.84	3	CD200R1	131450
48880965	48898744	51.24	19	TULP2	7288
112990984	113015060	37.06	3	GTPBP8	29083
130226677	130314917	39.22	11	ZBTB44	29068
5282265	5386340	41.34	17	RABEP1	9135
5158495	5340812	52.47	19	PTPRS	5802
113002444	113019861	39.06	3	NEPRO	25871
23870515	23913362	47.63	1	CNR2	1269
23929070	23929147	52.56	1	MIR378F	100616492
23956839	23963462	43.87	1	PNRC2	55629
23964347	23980927	38.94	1	SRSF10	10772
49850735	49860744	61.87	19	PTOV1	53635
130404923	130428609	53.31	11	ADAMTS8	11095
5419641	5432877	45.34	17	RPAIN	84268
94415570	94493885	37.30	11	MRE11	4361
24199558	24364482	47.80	1	GRHL3	57822
113142350	113167819	41.58	3	LINC02044	101929717
113947901	113965401	43.72	3	ZDHHC23	254887
113964137	114056594	38.06	3	CCDC191	57577
5432777	5448830	46.67	17	C1QBP	708
50333796	50344806	49.42	19	NAPSB	256236
5440917	5468982	45.78	17	DHX33	56919
50358472	50365830	52.44	19	NAPSA	9476
171781660	171814023	43.61	1	METTL13	51603
114005833	114088422	38.31	3	QTRT2	79691
94466495	94466580	39.53	11	MIR548L	100302275
112721020	112742879	48.85	2	NT5DC4	284958
94493979	94499578	36.46	11	ANKRD49	54851
54923509	54966312	49.67	19	NLRP7	199713
612553	615983	67.06	11	IRF7	3665
38962206	39124345	38.16	2	SOS1	6654
5469092	5470360	43.66	17	DHX33-DT	105371506
5471254	5486811	41.38	17	DERL2	51009
171817887	172418466	37.44	1	DNM3	26052
114127580	114199407	41.04	3	DRD3	1814
5486285	5490814	44.08	17	MIS12	79003
55072020	55087923	58.26	19	EPS8L1	54869
129647792	129893711	39.40	3	TMCC1	23023
107502727	107565742	36.18	11	ALKBH8	91801
5359668	5420164	42.72	17	NUP88	4927
129893811	129918578	44.12	3	TMCC1-DT	100507032
68039025	68050895	63.64	11	TCIRG1	10312
129974688	129977935	59.30	3	TRH	7200
130111669	130201336	45.82	3	LINC02021	105374104
171864187	171864687	42.51	1	DNM3-IT1	100874284
178525989	178830802	37.71	2	TTN	7273
142724034	142807888	35.59	3	TRPC1	7220
172138798	172138907	56.36	1	MIR214	406996
172138808	172138888	54.32	1	MIR3120	100422882
172144535	172144644	53.64	1	MIR199A2	406977
172370189	172444086	38.22	1	PIGC	5279
38815422	38831841	51.42	19	ECH1	1891
172420685	172468831	41.63	1	C1orf105	92346
245206444	245234501	46.37	1	KIF26B-AS1	111216275
244969682	245127164	42.37	1	EFCAB2	84288
39406716	39426255	43.75	3	RPSA	3921
38867830	38878275	53.23	19	RINL	126432
67989445	68234686	38.65	12	IFNG-AS1	100885789
65499312	65507432	39.91	11	TALAM1	109136579
128899565	128906044	52.18	11	KCNJ5-AS1	219833
45095806	45235110	47.84	11	PRDM11	56981
68154768	68159740	35.99	12	IFNG	3458
228424845	228425360	63.37	1	H3-4	8290
93992834	94121148	46.44	1	ABCA4	24
83259081	83286390	37.57	11	CCDC90B	60492
59565558	59608345	39.62	17	DHX40	79665
38878555	38899862	53.55	19	SIRT2	22933
68201349	68225810	36.28	12	IL26	55801
195863364	195911945	58.27	3	TNK2	10188
68248242	68253604	39.88	12	IL22	50616
59674636	59707626	39.24	17	PTRH2	51651
68272443	68332381	38.66	12	MDM1	56890
59619684	59696956	38.54	17	CLTC	1213
204516379	204558120	42.52	1	MDM4	4194
123973241	124316024	47.18	12	RFLNA	100533183
123973241	124316024	47.18	12	RFLNA	144347
16777297	17014415	46.37	11	PLEKHA7	144100
54016931	54056030	51.68	12	HOXC4	3221
54033050	54035361	59.86	12	HOXC5	3222
54058254	54122235	48.04	12	FLJ12825	440101
38899700	38908893	50.76	19	NFKBIB	4793
54121277	54189008	50.76	12	SMUG1	23583
38908980	38912186	60.21	19	CCER2	643669
38915266	38930763	53.62	19	SARS2	54938
47980425	48170839	45.40	11	PTPRJ	5795
26693236	26782104	46.19	1	ARID1A	8289
43753738	43758791	55.36	17	SOST	50964
43766125	43778977	50.90	17	DUSP3	1845
54126019	54147485	52.38	12	LINC02381	400043
10824960	11171608	36.54	12	PRH1	5554
43780435	43787620	43.57	17	CFAP97D1	284067
196012511	196082153	42.38	3	TFRC	7037
10937408	11171573	36.14	12	TAS2R14	106707243
10937408	11171573	36.14	12	TAS2R14	50840
43800799	43833170	48.95	17	MPP3	4356
10985913	10986912	38.50	12	TAS2R50	259296
48096782	48096858	48.05	11	MIR3161	100423000
48216810	48217739	46.99	11	OR4B1	119765
10995961	10998304	35.15	12	TAS2R20	259295
11021619	11022620	40.52	12	TAS2R19	259294
